split,well_id,fold,target_rows
train,000d7d20,0,3836
train,015fe0d2,0,4296
train,01869cd4,0,5557
train,03a935ae,0,2786
train,0498acab,0,4798
train,06df5958,0,3509
train,09ec2ca9,0,5885
train,10b89021,0,5414
train,11d0f5ac,0,4883
train,12203f2a,0,3261
train,13ce113d,0,2966
train,15e154a1,0,6068
train,1b08ed48,0,5618
train,1b1eba53,0,4655
train,1beca81d,0,5036
train,203721ab,0,5730
train,264feceb,0,5665
train,28f4eda9,0,5266
train,29b24409,0,5587
train,2b06ad65,0,4256
train,2cee0cba,0,5500
train,2ee0235b,0,5556
train,2f19d536,0,3088
train,3417285d,0,5449
train,3584a6eb,0,4494
train,368fe682,0,4936
train,3690a146,0,4073
train,373ef48b,0,3509
train,39b51819,0,4231
train,3a223519,0,4583
train,3a7dd95d,0,3072
train,3a86fe8d,0,5118
train,3b21ea64,0,7376
train,3bfee975,0,3603
train,3c3dbcbc,0,5069
train,3ef98781,0,3892
train,4121c517,0,3723
train,41fb0192,0,2973
train,43c7f85a,0,5978
train,4654e7de,0,5373
train,46d41ff6,0,7901
train,481de5fc,0,5952
train,48c1f673,0,2917
train,49dbc14c,0,3872
train,4cecf7b3,0,6019
train,504c8b08,0,6367
train,5254b6db,0,3274
train,5397ceb1,0,5255
train,53f23031,0,8550
train,543198e8,0,6503
train,54753541,0,4026
train,58850d2c,0,4995
train,58fa8486,0,4475
train,593876b6,0,4842
train,5cdd8dbc,0,4010
train,61f27424,0,6220
train,65156b96,0,3221
train,6767c111,0,6783
train,699ea575,0,4120
train,69e41fa6,0,5772
train,6d1d74e1,0,5830
train,71ccf778,0,2698
train,7224331b,0,6063
train,739a914f,0,5505
train,74b6186b,0,3405
train,75c20ec7,0,5361
train,7993a768,0,5487
train,7cd4bb31,0,6439
train,7d57c75d,0,4405
train,7ff89f8f,0,7337
train,82aab6d2,0,6140
train,833af382,0,3628
train,85380836,0,6618
train,8612b37f,0,5165
train,861e71df,0,4700
train,87695469,0,7003
train,884ecb5f,0,6724
train,8ac2f237,0,5319
train,8b95d6d1,0,1731
train,8bb9c1e6,0,4546
train,8bda1a11,0,5981
train,8bfa881d,0,4089
train,8d92cb49,0,3589
train,9298ad5b,0,3964
train,93209a3d,0,4697
train,940a48d9,0,3963
train,992c99e8,0,4904
train,995ff498,0,4526
train,9ab94eeb,0,4442
train,9ad5410a,0,4205
train,9d5e14d4,0,5400
train,a056d01e,0,6557
train,a08d9e63,0,3685
train,a4719920,0,5884
train,a48640d9,0,4532
train,a85e4bc3,0,4581
train,a87433c9,0,5721
train,ab112491,0,5185
train,aed44918,0,2719
train,b04b58a3,0,3402
train,b0d42b0d,0,4971
train,b19b0395,0,5813
train,b4d8dd4f,0,4259
train,b56bc0aa,0,5602
train,b585b4fa,0,4294
train,b85f7b06,0,3803
train,bc4381e2,0,4955
train,c03d4aed,0,4641
train,c03fba65,0,3699
train,c07fd0cd,0,4191
train,c47e0767,0,4356
train,c6b782a4,0,4877
train,c70c0e01,0,4312
train,c84c65be,0,8496
train,c8d9680c,0,6281
train,c96c018a,0,6236
train,c9e980e8,0,4359
train,cad13e8f,0,4848
train,cb879f40,0,6315
train,ccedb12b,0,4401
train,ce8399b7,0,1615
train,d114d9c2,0,6206
train,d1ecf309,0,6168
train,d1ee630d,0,6290
train,d24ff243,0,5641
train,d273674e,0,3899
train,d41beaf2,0,4753
train,d463e527,0,4767
train,d60430e6,0,2511
train,d924e971,0,3184
train,d9eca87b,0,6373
train,da940160,0,5132
train,dc5fbe29,0,5203
train,dd168de0,0,3304
train,ddc790ff,0,4726
train,df73b8f3,0,5311
train,e201fd6d,0,5070
train,e32da4ec,0,4689
train,e46f4ef4,0,7195
train,e4726608,0,4733
train,e5864244,0,4469
train,ea3a0e38,0,10052
train,eafb863e,0,3568
train,ebe69318,0,4976
train,edf885a3,0,3117
train,ee288beb,0,4638
train,ef8e3ed0,0,5224
train,f03f10fe,0,4145
train,f074d277,0,2453
train,f6bc699b,0,3752
train,f8afa78a,0,6032
train,fb3848a1,0,5919
train,fc03f21f,0,4803
train,fd3b4faa,0,5022
train,fd710aea,0,4217
train,0390d174,1,4411
train,044af7d1,1,4519
train,052d64df,1,2445
train,0be01c24,1,4738
train,137d1e44,1,4554
train,14a53cb3,1,6919
train,1619e2ca,1,4443
train,19fb4f7b,1,5620
train,1a518997,1,4606
train,1aaf1da0,1,4804
train,201661b5,1,5955
train,206b6193,1,6535
train,22c5f93f,1,5172
train,276b012a,1,4837
train,2ab29395,1,1852
train,2b034622,1,5203
train,2d179ded,1,7008
train,2d35f86d,1,4896
train,2d9f6cb9,1,7338
train,2ddad940,1,5331
train,2e63d9de,1,4699
train,2f8e53c3,1,2594
train,2fe023be,1,4221
train,30d75030,1,3404
train,310c71a5,1,5245
train,3407f5bf,1,3638
train,368131f9,1,4991
train,37d36812,1,4367
train,3ac16ad0,1,5649
train,3df4b19e,1,4988
train,3ef6372a,1,4727
train,3f603129,1,5051
train,42669188,1,4282
train,42c538a1,1,3279
train,43b06c70,1,4846
train,46a301e9,1,8226
train,46d24a09,1,4449
train,4a8ecc0b,1,5809
train,4ed93db6,1,4657
train,4f69febf,1,5460
train,4fbe9c06,1,6287
train,511e1db0,1,3821
train,529e88ca,1,3417
train,54a7e3c2,1,6155
train,5693dde2,1,3488
train,56b00794,1,6065
train,577eec7c,1,4539
train,57f05c51,1,4771
train,591cc951,1,4609
train,5a5269a9,1,6513
train,5a63b5d1,1,6217
train,5aa403d0,1,3118
train,5cb483ac,1,3852
train,5d11dfb5,1,5895
train,5eae34a8,1,4904
train,5f75f796,1,5562
train,5fb1c15f,1,2860
train,5fffa282,1,4201
train,65a5466a,1,4683
train,698930d1,1,4741
train,6ae68655,1,4204
train,6d6d93af,1,3595
train,6ede926a,1,4938
train,7271dd80,1,4340
train,729e9750,1,5919
train,73b1447d,1,5670
train,77e4821c,1,5393
train,7850c72e,1,5497
train,78a4a386,1,5119
train,7987f2f2,1,3705
train,7b2c7b3c,1,2584
train,7bb17b96,1,3922
train,7e208414,1,4226
train,807f0298,1,3747
train,8255c867,1,3589
train,84c3b497,1,5312
train,877ed19c,1,3708
train,87aa3730,1,5607
train,896d15b9,1,4279
train,89969c7a,1,4947
train,8a89da23,1,3935
train,8b12bab6,1,5234
train,8b9d8326,1,6163
train,8c8348e8,1,3888
train,90386ee4,1,3840
train,91db7070,1,4073
train,93f5d2e6,1,3691
train,95b559e7,1,2887
train,95c8427f,1,6335
train,9719aa04,1,4871
train,99529c45,1,5840
train,9ae248be,1,5271
train,9b5b61c1,1,5532
train,9d072e4c,1,5107
train,9da441ba,1,5783
train,9df1b1f9,1,4701
train,9dfff011,1,4319
train,a3518960,1,4967
train,a3f71395,1,5543
train,a612d5a0,1,5329
train,a692b17e,1,3566
train,a85bb86f,1,3099
train,a9c9b150,1,3986
train,aa95015b,1,4300
train,aaeffccb,1,2712
train,ab94878e,1,6004
train,abf460d2,1,3217
train,ae0784a8,1,7823
train,aee6393a,1,5865
train,b38e3116,1,6211
train,b4f37e6e,1,2992
train,bb337fa0,1,6873
train,bb682ebd,1,4139
train,bcebcc5f,1,6258
train,bd6f0e19,1,5140
train,bf39bc20,1,3303
train,bffe3082,1,5723
train,c2c4db09,1,6039
train,c472c0b5,1,3054
train,c50b42f6,1,6014
train,c9fedcf3,1,3517
train,cbb406b5,1,6328
train,cbe62450,1,6258
train,d00e7eb9,1,5704
train,d07aed8f,1,2957
train,d2f3b1ab,1,5581
train,d40f61d5,1,4039
train,d63196fe,1,4510
train,d6c320d9,1,5452
train,d84b621b,1,3994
train,d90aa14c,1,10018
train,e6c55748,1,4472
train,e737965a,1,5955
train,ea0b99b7,1,9239
train,ecdaf714,1,6592
train,ed6e6e54,1,6048
train,eeda36f5,1,4797
train,f053a1b9,1,4108
train,f16e25e3,1,4651
train,f40cd091,1,5166
train,f49fdea3,1,5391
train,f631da6e,1,4093
train,f6824bb0,1,5015
train,f6d009f4,1,6715
train,f72b268f,1,6404
train,f8662c22,1,5429
train,fa31da94,1,5027
train,fa667be2,1,7296
train,fae0c593,1,4403
train,fb03ae90,1,6431
train,fb0904bd,1,3181
train,fba7683c,1,407
train,febb4411,1,4247
train,ff0aea78,1,3261
train,ffefef30,1,4570
train,00bbac68,2,6014
train,00e12e8b,2,4301
train,0849b4e2,2,5537
train,08fecf00,2,5574
train,09053135,2,5907
train,09441b8d,2,5488
train,0c1b160c,2,5054
train,0d99f8e4,2,5823
train,0dc835f3,2,4428
train,10be2420,2,3271
train,125be846,2,6510
train,13f598d9,2,7306
train,1550491d,2,4563
train,173ed841,2,4883
train,18d24f7b,2,4558
train,19137a89,2,6267
train,1944513c,2,4722
train,1b1c5372,2,4261
train,1bcb2fcf,2,4524
train,1d78281a,2,4949
train,1e30dedf,2,4071
train,1f9afacb,2,5328
train,20402d71,2,6372
train,2043abc5,2,6958
train,23b9beb0,2,7340
train,24d8997e,2,3442
train,25939962,2,4319
train,25fd32b3,2,2885
train,261785ee,2,3646
train,272abef3,2,4135
train,27300fd5,2,5467
train,2ac7cb6b,2,4990
train,2be5c96a,2,4210
train,2bff06cf,2,7624
train,2e29e833,2,5428
train,2e43c2ea,2,5698
train,357c12f9,2,4079
train,367456ce,2,5569
train,37344c2a,2,5197
train,374be387,2,9965
train,3aaa2b30,2,4711
train,3e011332,2,2723
train,3e678ea7,2,6858
train,43e16325,2,3720
train,44441e54,2,4357
train,445af6c2,2,6041
train,44a94013,2,4903
train,466fc788,2,6197
train,46a7190b,2,4215
train,493b5b31,2,4671
train,4a335117,2,5015
train,4c2208f5,2,5384
train,4c3168cf,2,4334
train,4caa7289,2,5396
train,4cd1ac61,2,4489
train,4f3eb9e9,2,4697
train,512943b2,2,5029
train,5542c301,2,3591
train,59f8b2e8,2,3747
train,5a5d1982,2,3894
train,5aef5c6c,2,3121
train,5beded95,2,3057
train,5d7198fd,2,3368
train,5def1ce5,2,6443
train,5f6756c5,2,5931
train,60e37807,2,2699
train,647f2a41,2,3881
train,653612bc,2,4605
train,660d9546,2,4732
train,6a8fa194,2,3017
train,6dbe4b60,2,4648
train,6e6d122c,2,5632
train,6e9ccd38,2,8282
train,708caea9,2,6548
train,70e1788b,2,9285
train,722cf0d8,2,5143
train,726f3dc2,2,6723
train,727a3a10,2,4397
train,75cd5f11,2,4946
train,77b0d905,2,4174
train,796dbd4c,2,6248
train,7acda2df,2,3091
train,7d50373e,2,5122
train,8478df29,2,4857
train,89fdb2f2,2,2031
train,8cc800b3,2,6576
train,939d9c34,2,5101
train,96936c22,2,3346
train,974802e7,2,5843
train,9896fc0b,2,3595
train,999daf80,2,3564
train,9a6b0392,2,4255
train,9a8ae0d6,2,6294
train,9af1ffd0,2,3525
train,9c350a6a,2,6052
train,9c8375f7,2,3674
train,9d3ec64c,2,3480
train,9d4272e3,2,4030
train,9def2eb2,2,6003
train,9f0c7bae,2,2542
train,9ffce529,2,5212
train,a15bc102,2,3236
train,a247e7cf,2,5674
train,a4cdbb0f,2,5204
train,a5e6f7dc,2,5649
train,a6b8ac67,2,5453
train,a6ed2eff,2,5275
train,a7fc3e6b,2,4764
train,a8ed028a,2,5538
train,ad2133a8,2,5729
train,ae35f33a,2,4450
train,b32e4903,2,5770
train,b7cdcecb,2,6168
train,b881d27e,2,4009
train,bd8f847e,2,4961
train,be83e781,2,3221
train,c1708b88,2,6315
train,c2c6fc71,2,7119
train,c66be2b8,2,4154
train,c6797dd7,2,4664
train,c908edd0,2,5293
train,c9578d27,2,4487
train,c99f9fae,2,6361
train,cbe51de1,2,3963
train,cd7f1687,2,4232
train,d011f41b,2,2267
train,d0a0e7b5,2,3816
train,d50c649a,2,4873
train,d543916f,2,4799
train,da3cf798,2,5844
train,dc7da28f,2,4774
train,df71d1ff,2,6228
train,e25f1537,2,3177
train,e5c92e59,2,4295
train,e748dd88,2,4812
train,eabc711b,2,5348
train,eac10e86,2,6067
train,eb06a4e7,2,4535
train,eb934281,2,5971
train,ec0d597b,2,4616
train,ecdab904,2,6147
train,ed6436d6,2,2945
train,ee4aecac,2,5265
train,f08774c3,2,3900
train,f321a31c,2,5141
train,f4d12d23,2,3701
train,f5d8aab6,2,4444
train,f88ddb26,2,4990
train,f8f59188,2,4807
train,f9fc81aa,2,5598
train,fc0d20b2,2,3954
train,fcfcc902,2,2791
train,fef8af96,2,3826
train,ff8bb73a,2,5927
train,01982c1d,3,3941
train,059c8f24,3,6258
train,05a0ee4d,3,4348
train,084d66f9,3,3885
train,0955cd6c,3,5195
train,0a57a29c,3,5821
train,10a1281a,3,5609
train,1131525f,3,4159
train,1295a25b,3,5551
train,14ad5efb,3,5842
train,14fee784,3,4910
train,155887bb,3,5585
train,16e4a047,3,4131
train,177622d7,3,3154
train,19871e7f,3,5293
train,198a5607,3,6251
train,1a68190b,3,4474
train,1a730ac2,3,4605
train,1b6ba517,3,6597
train,1b82b665,3,3806
train,1e5e3573,3,5480
train,20096916,3,5133
train,200d233d,3,3926
train,2075c696,3,3188
train,230eaaa3,3,4690
train,2364716c,3,4316
train,25050f63,3,6124
train,26623a50,3,5735
train,27ebb9b9,3,5766
train,283269ac,3,2626
train,28473855,3,4290
train,347242c8,3,3595
train,35b30c7f,3,9579
train,38991fd4,3,4798
train,389ae58f,3,6463
train,3932faa6,3,5452
train,3a0af893,3,2927
train,3bbe1f5d,3,6918
train,3d96d897,3,5659
train,404c4384,3,911
train,4463446c,3,3256
train,45fb3e21,3,3649
train,460f859e,3,3336
train,46dfcfca,3,3606
train,47ee27ab,3,6397
train,4a035ec2,3,2588
train,4b831d20,3,7312
train,5138a660,3,3559
train,55efee7f,3,4801
train,5663b2b7,3,4972
train,5aa03df7,3,4871
train,5bd25f59,3,4210
train,5f4d2a52,3,5225
train,62a6f539,3,3693
train,633774dc,3,6233
train,63559d57,3,4069
train,656a067b,3,3051
train,6a0ff78e,3,6465
train,6ea22614,3,5971
train,70925e23,3,5947
train,71642c7d,3,4648
train,7256229b,3,5415
train,729665c0,3,4263
train,729f4217,3,6195
train,73348914,3,4221
train,75d20a82,3,5067
train,76201745,3,4448
train,7b38844c,3,3749
train,7cbbd047,3,5121
train,7e721392,3,6174
train,8050c789,3,3077
train,811f52b3,3,4836
train,81bf5923,3,4543
train,81fc01c6,3,5909
train,82fcf37c,3,6014
train,8382f4b6,3,4967
train,8902c3f6,3,4959
train,8995c945,3,6724
train,89f36adf,3,5292
train,8a9c8932,3,4663
train,8c167025,3,5368
train,8f201368,3,6349
train,91abc4c7,3,5848
train,91b301ce,3,6570
train,9283ae69,3,3371
train,9314ff13,3,2748
train,96ae5806,3,9839
train,97cd5bf9,3,3449
train,98bc6f66,3,6063
train,9bd2bba3,3,7439
train,9c211c53,3,7265
train,9efc812e,3,4450
train,a0e92ed6,3,4897
train,a5aa7973,3,4616
train,a622ce4d,3,6298
train,a645da9a,3,5153
train,a6f967fb,3,4670
train,a783cc24,3,1889
train,a79fd2e7,3,4404
train,aaaf3c03,3,2997
train,ab18d3fc,3,5694
train,ac6f01d5,3,5004
train,ae069086,3,4770
train,ae8959c3,3,4518
train,b0f53bf4,3,2755
train,b1efb8a4,3,5998
train,b3388334,3,6080
train,b37fd114,3,8161
train,b7974e66,3,5558
train,b7fea9ef,3,3866
train,b95e7121,3,6306
train,bd4ae5da,3,5006
train,be063506,3,4500
train,be35c8f2,3,4226
train,beda8696,3,5912
train,c03b9305,3,4255
train,c1d046f4,3,5513
train,c2717d4f,3,4721
train,c36625df,3,4742
train,c3957531,3,5316
train,c42fe306,3,5095
train,c593337f,3,5208
train,c59b6c4a,3,5499
train,c6c96179,3,4004
train,c9e6734f,3,4735
train,cb34231f,3,5609
train,cc08aa63,3,3274
train,cf50c9d1,3,4858
train,d217e0c5,3,3838
train,d5df0ff5,3,4032
train,d7eb0be8,3,5401
train,d9ae59b2,3,3648
train,d9d6d94d,3,4919
train,dbee6c86,3,7369
train,dc7f9757,3,4360
train,dd7d638e,3,4301
train,df8290be,3,3972
train,e0079ed1,3,3471
train,e14d641e,3,3184
train,e161bd0c,3,2949
train,e5ff9fd2,3,2354
train,e730c32b,3,4728
train,e7818f7a,3,5371
train,e85074c5,3,5675
train,e97032ad,3,3530
train,e9949a23,3,4559
train,ea41324e,3,5025
train,eb640a35,3,6037
train,eba6605e,3,4410
train,efde6ac3,3,4559
train,f0188a48,3,4170
train,f021b650,3,3739
train,f140c2fa,3,4082
train,fbd68d27,3,6829
train,fdfd57da,3,5236
train,028d7b28,4,6234
train,02e7fe5a,4,5108
train,05948241,4,3879
train,060ab2b8,4,6258
train,071d7b45,4,3211
train,0bbf5e67,4,4298
train,0dc5e64d,4,4879
train,0dd99dc5,4,7342
train,0e5e560d,4,3253
train,109d9d70,4,4215
train,113011eb,4,3272
train,122bd617,4,4570
train,1285a37b,4,5597
train,12f0cd90,4,5947
train,14ab73fb,4,3649
train,153552f5,4,4695
train,1590af81,4,3799
train,1770d7c6,4,7240
train,197f8a5a,4,6310
train,1d3fbf02,4,2694
train,1fdbba44,4,4911
train,1fee2b62,4,4641
train,204cc64b,4,4805
train,26d3a96a,4,4721
train,27c3155b,4,4958
train,29de15c8,4,3431
train,2acc78d4,4,4266
train,2b547943,4,3480
train,2c0c4a4e,4,4790
train,2d0c268a,4,4550
train,2d196986,4,6474
train,2d2d0c6b,4,5045
train,2fa01aa6,4,2174
train,2fd68f7b,4,4730
train,32fe84c9,4,6408
train,33c40295,4,4169
train,353e5502,4,6062
train,35b3ef6a,4,3904
train,398dce4b,4,3166
train,3a824aa7,4,4201
train,4630ab92,4,3373
train,463c38f2,4,4460
train,47222616,4,4406
train,4936af16,4,3991
train,4b462989,4,3106
train,4c3df468,4,5392
train,4ddde4c1,4,4472
train,4e050c92,4,3705
train,4f4ac5ce,4,5162
train,4f4afcc6,4,5645
train,516088b7,4,6645
train,521a7819,4,5200
train,52f1e77a,4,4442
train,5305524b,4,4898
train,53134831,4,5126
train,5567d551,4,6889
train,57796579,4,5890
train,5a1a8fd8,4,5260
train,5b7b6324,4,6564
train,62569ae3,4,3588
train,67847288,4,7429
train,67a8da4a,4,4911
train,684a6fc1,4,9818
train,69c1bdad,4,2714
train,6d590e26,4,6096
train,72dd8501,4,5193
train,764072a5,4,2949
train,79507629,4,5302
train,7a5660b0,4,4998
train,7c607683,4,5328
train,84633df4,4,4972
train,84815d5a,4,3647
train,86454a6f,4,7964
train,8648abae,4,4244
train,865033f8,4,3557
train,89f1085d,4,5994
train,8a3da6d1,4,4593
train,8b5be31b,4,5672
train,8cc21f01,4,4044
train,8d5d46d7,4,5755
train,925a7cd1,4,4517
train,940e709a,4,3348
train,9426ec1e,4,2532
train,94467f50,4,3035
train,944f36b9,4,4630
train,94d813a4,4,4847
train,96b7eea1,4,4332
train,98177ced,4,4772
train,992ce078,4,2879
train,9a95e33f,4,6447
train,9b9e3b49,4,5118
train,9dede370,4,6297
train,9e3e364d,4,4290
train,a0383629,4,5832
train,a0b83014,4,5035
train,a2e8e7f6,4,4760
train,a4f989c2,4,5385
train,a76db406,4,4672
train,a7744f5b,4,4377
train,a959858c,4,4404
train,ab3ced07,4,4250
train,ab6fe95d,4,5491
train,add9c322,4,3932
train,af7a59ce,4,3024
train,aff4e561,4,6026
train,b32902c0,4,3808
train,b5aa9634,4,7326
train,b8c49c1a,4,4319
train,b977be4a,4,5917
train,ba48188d,4,4166
train,bb2cdd83,4,3825
train,bd2c2f34,4,9823
train,bf70b410,4,6347
train,c43812e2,4,5527
train,cc8a1d57,4,6638
train,cda7eb37,4,5973
train,cdc31d65,4,4840
train,cdc60a53,4,5878
train,ce55ba43,4,4104
train,d085e611,4,6191
train,d0a43760,4,4041
train,d0cb63ae,4,5223
train,d1457cc5,4,6920
train,d3df146b,4,5787
train,d4f60a28,4,4501
train,d6dd7330,4,6193
train,d7ba4f9d,4,6023
train,da2d4d7c,4,2114
train,da3bfe4e,4,5549
train,dafc88c3,4,5572
train,dd64382d,4,3124
train,dd6bc5b2,4,3602
train,e03b45fd,4,5342
train,e0f36d98,4,4976
train,e149204f,4,6097
train,e2fc7745,4,3692
train,e3b34f5b,4,5455
train,e45a2a62,4,5007
train,e7c36e81,4,3531
train,e7d0c1de,4,4711
train,ec13af42,4,5462
train,ee0300f7,4,4544
train,eeed308d,4,3899
train,ef04658e,4,4104
train,efe96181,4,4012
train,f07d7037,4,5563
train,f2d4c8c9,4,6249
train,f439a621,4,2821
train,f56d3ace,4,5432
train,f5859199,4,5790
train,fa16d114,4,5686
train,fb73b13a,4,5640
train,fd8f77fa,4,5272
train,fde20ecf,4,4667
